"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
0,1,,,,,,,,,
1,1,"1900-01-01 00:00:00","2023-10-23 15:53:58",https://dadosabertos.camara.leg.br/api/v2/deputado,57,57,"2023-02-01 00:00:00",2022,"2023-02-01 00:00:00",
2,2,"2023-10-23 15:53:58","2200-01-01 00:00:00",https://dadosabertos.camara.leg.br/api/v2/deputado,57,56,"2019-02-01 00:00:00",2018,"2023-02-01 00:00:00",
3,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",s/220,57,57,"2023-02-01 00:00:00",2022,"2023-02-01 00:00:00",
4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",s/204,57,56,"2019-02-01 00:00:00",2018,"2023-02-01 00:00:00",
5,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","220593",57,57,"2023-02-01 00:00:00",2022,"2023-02-01 00:00:00",
6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","204379",57,56,"2019-02-01 00:00:00",2018,"2023-02-01 00:00:00",
7,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","107",1,1,,,,
8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","30",1,1,,,,
9,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","76",1,1,,,,
10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","111",1,1,,,,
11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","119",1,1,,,,
12,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","113",1,1,,,,
13,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","124",1,1,,,,
14,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","184",1,1,,,,
15,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","108",1,1,,,,
16,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","114",1,1,,,,
17,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","131",1,1,,,,
18,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","155",1,1,,,,
19,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","46",1,1,,,,
20,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","152",1,1,,,,
21,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","115",1,1,,,,
22,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","109",1,1,,,,
23,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","153",1,1,,,,
24,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","172",1,1,,,,
25,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","156",1,1,,,,
26,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","174",1,1,,,,
27,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","1276",1,1,,,,
28,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","129",1,1,,,,
29,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","166",1,1,,,,
30,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","130",1,1,,,,
31,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","139",1,1,,,,
32,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","161",1,1,,,,
33,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","140",1,1,,,,
34,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","141",1,1,,,,
35,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","180",1,1,,,,
36,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","175",1,1,,,,
37,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","24",1,1,,,,
38,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","74",1,1,,,,
39,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","168",1,1,,,,
40,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","181",1,1,,,,
41,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","216072",1,1,,,,
42,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","176",1,1,,,,
43,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","169",1,1,,,,
44,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","120",1,1,,,,
45,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","177",1,1,,,,
